Fichero generado por el Mityc30/10/2013
Longitud;Latitud;Descripcion
-2.94783;35.28122;SHELL ALFONSO XIII L-D: 24H 0,955 e
-2.93897;35.28108;SHELL CARLOS V L-D: 07:00-23:00 0,955 e
-2.94175;35.28731;SHELL PUENTE TRIANA L-D: 24H 0,955 e
-16.46678;28.43608;SHELL Horario Especial 0,976 e
-16.46236;28.43947;SHELL ACENTEJO L-D: 06:00-22:00 0,976 e
-16.49433;28.42522;SHELL SANTA URSULA Horario Especial 0,976 e
-2.94614;35.29694;POLIGONO L-S: 07:00-23:00 0,976 e
-2.94317;35.26969;CEPSA L-S: 07:00-23:00 0,977 e
-2.93381;35.29422;CEPSA L-S: 07:30-23:30 0,977 e
-2.93681;35.26956;CEPSA L-S: 07:00-23:30 0,977 e
-2.94839;35.28997;SHELL L-S: 07:00-23:00 0,977 e
-2.94219;35.28672;SHELL L-S: 07:00-02:00 0,977 e
-2.94631;35.29047;SHELL L-S: 07:00-23:00 0,977 e
-16.69406;28.37922;CEPSA ICOD DE LOS VINOS L-D: 06:00-23:00 0,978 e
-16.71969;28.36853;SHELL ICOD DE LOS VINOS Horario Especial 0,978 e
-16.81953;28.36569;DISA RED L-D: 06:00-22:00 0,978 e
-16.42122;28.47383;DISA Horario Especial 0,978 e
-16.77714;28.35633;REPSOL L: 06:00-23:00 0,978 e
-16.64233;28.39397;REPSOL L-D: 05:00-22:00 0,978 e
-16.71019;28.37225;DISA ICOD DE LOS VINOS L-D: 24H 0,978 e
-16.7925;28.37008;E.S. LA CALETA Horario Especial 0,979 e
-16.70072;28.37897;CEPSA L-D: 06:00-22:00 0,987 e
-2.94183;35.28653;BP PUENTE L-S: 07:00-00:00 0,996 e
-2.93722;35.27544;BP L-S: 06:45-23:00 0,996 e
-16.39797;28.48069;BP Horario Especial 0,999 e
-16.28406;28.44208;TGAS-HIPERTREBOL Horario Especial 1,000 e
-16.73989;28.12011;TGAS-HIPERTREBOL L-S: 08:30-21:00 1,000 e
-16.39858;28.51056;REPSOL L-D: 06:00-22:00 1,001 e
-16.30486;28.46469;REPSOL L-D: 24H 1,002 e
-16.31689;28.45608;REPSOL L: 24H 1,002 e
-16.48467;28.42872;REPSOL Horario Especial 1,002 e
-16.4185;28.47583;REPSOL L-D: 06:00-22:00 1,002 e
-16.389;28.51817;REPSOL L-D: 06:00-23:00 1,006 e
-16.3545;28.49067;REPSOL L-D: 24H 1,006 e
-16.42358;28.47286;BP Horario Especial 1,006 e
-16.30431;28.45811;MAKRO L-D: 07:30-21:30 1,006 e
-16.38606;28.30639;DISA PUERTITO L-D: 24H 1,009 e
-16.41194;28.31303;TEXACO Horario Especial 1,009 e
-16.41483;28.34058;CEPSA Horario Especial 1,009 e
-16.38483;28.33019;CEPSA L-D: 05:30-23:00 1,009 e
-16.40797;28.31906;DISA L-D: 06:00-22:00 1,009 e
-16.39558;28.33392;REPSOL L-D: 24H 1,009 e
-16.41097;28.313;SHELL GUIMAR L-D: 06:00-22:00 1,009 e
-16.37483;28.32519;OCEANO Horario Especial 1,009 e
-16.39314;28.33553;BP Horario Especial 1,009 e
-16.67217;28.39022;DISA           STO DOMING Horario Especial 1,013 e
-16.66503;28.38975;TGAS - SANTA CATALINA L-D: 24H 1,013 e
-16.65064;28.37411;PCAN Horario Especial 1,014 e
-16.61897;28.37911;DISA Horario Especial 1,014 e
-16.29672;28.45467;DISA LOS MAJUELOS L-D: 24H 1,015 e
-16.61822;28.39308;ESTACION DE SERVICIOS EL  L-D: 24H 1,017 e
-16.31367;28.44181;SHELL LOS MAJUELOS L-D: 24H 1,019 e
-16.30725;28.44744;TEXACO LOS ANDENES L-D: 24H 1,019 e
-16.296;28.47022;PCAN L-D: 24H 1,020 e
-16.31361;28.4815;SHELL LA LAGUNA L-D: 24H 1,021 e
-16.31378;28.48464;TGAS L-D: 06:00-22:00 1,021 e
-16.31856;28.48156;DISA PADRE ANCHIETA Horario Especial 1,021 e
-16.84825;28.36989;DISA Horario Especial 1,024 e
-16.59006;28.37364;DISA LA AZADILLA Horario Especial 1,024 e
-16.37194;28.35683;DISA L-D: 06:00-00:00 1,025 e
-16.32406;28.48608;BP SAN BENITO L-D: 06:00-23:00 1,025 e
-16.36192;28.38236;DISA LAS CALETILLAS L-D: 24H 1,025 e
-15.41886;28.03881;REPSOL L-D: 24H 1,029 e
-15.4135;28.03414;DISA JINAMAR L-D: 24H 1,029 e
-16.30189;28.51522;TGAS Horario Especial 1,029 e
-15.41764;28.04053;SHELL MERCALASPALMAS Horario Especial 1,029 e
-16.35089;28.39947;PCAN Horario Especial 1,032 e
-16.55325;28.06889;TGAS L-D: 24H 1,033 e
-16.66264;28.01186;TGAS L-D: 24H 1,033 e
-16.32981;28.45686;LOS BALDIOS Horario Especial 1,033 e
-16.67794;28.05208;REPSOL L-D: 24H 1,033 e
-16.65253;28.01389;SHELL L-D: 24H 1,033 e
-16.35686;28.52039;DISA EL SOCORRO Horario Especial 1,035 e
-16.33503;28.51997;TGAS L-D: 06:00-23:00 1,035 e
-16.54642;28.05622;CEPSA MEDANO L-D: 24H 1,035 e
-16.48003;28.18253;DISA Horario Especial 1,036 e
-16.43958;28.23642;DISA Horario Especial 1,036 e
-16.30517;28.43853;DISA BARRANCO GRANDE L-D: 24H 1,036 e
-16.42642;28.26425;EL ESCOBONAL Horario Especial 1,036 e
-16.3005;28.44503;DISA TACO L-S: 06:30-22:30 1,036 e
-16.30808;28.50964;E.S. LAS CANTERAS S.L. L-S: 7:00-22:00 1,037 e
-16.57717;28.38419;E.S.SHELL LOS REALEJOS L: 06:00-22:00 1,038 e
-16.55839;28.37644;SHELL Horario Especial 1,038 e
-15.43686;28.11608;CEPSA ESCALERITAS L-D: 06:00-22:00 1,038 e
-16.57847;28.10469;CEPSA LOS LLANOS - GRANAD L-D: 24H 1,039 e
-16.51986;28.39436;DISA L-D: 24H 1,039 e
-16.30353;28.44022; BP TACO L-D: 24H 1,039 e
-16.41178;28.47747;TGAS L-D: 24H 1,039 e
-16.51519;28.38825;CEPSA LA CANADA L-D: 06:00-23:59 1,039 e
-16.46481;28.13081;PCAN L-D: 24H 1,039 e
-16.53472;28.07333;REPSOL L-D: 06:00-00:00 1,039 e
-16.61039;28.08444;REPSOL L-D: 06:00-22:00 1,039 e
-16.50997;28.37703;REPSOL BARROSO L-D: 06:00-00:00 1,039 e
-16.50967;28.15708;REPSOL L: 06:30-22:00 1,039 e
-16.46353;28.13097;REPSOL L-D: 24H 1,039 e
-16.535;28.07258;REPSOL L-D: 24H 1,039 e
-16.53739;28.37961;REPSOL L-D: 06:00-22:00 1,039 e
-16.41414;28.22269;REPSOL L-D: 06:00-22:00 1,039 e
-16.55806;28.07828;DISA SAN ISIDRO L-D: 24H 1,039 e
-16.61569;28.09967;ESTACION  SAN MIGUEL L-D: 06:00-22:00 1,039 e
-16.42331;28.2135;CEPSA L-D: 06:00-22:00 1,039 e
-16.57678;28.11625;DISA L-D: 06:00-23:00 1,039 e
-16.26814;28.45503;TEXACO L-V: 06:30-19:00 1,040 e
-16.28217;28.43653;CEPSA AUTOPISTA SUR L-D: 24H 1,041 e
-15.62803;28.14242;DISA GUIA Horario Especial 1,041 e
-16.383;28.48739;CEPSA EL PENON L-D: 24H 1,043 e
-16.26142;28.4515;DISA VIA PENETRACION L-D: 24H 1,043 e
-16.29458;28.4495;TACO NORTE L-D: 24H 1,043 e
-16.35972;28.53083;TEJINA Horario Especial 1,044 e
-15.40481;27.96078;DISA  L-D: 24H 1,044 e
-16.33667;28.47397;PCAN L-D: 06:00-23:00 1,044 e
-16.36214;28.456;PCAN L-D: 06:00-22:00 1,044 e
-16.55136;28.10353;PCAN L-D: 08:00-23:00 1,044 e
-16.36306;28.53325;CEPSA TEJINA L-D: 07:00-22:00 1,044 e
-15.42386;27.99178;DISA  L-D: 24H 1,044 e
-16.37822;28.49589;PCAN L: 06:00-23:00 1,044 e
-16.57464;28.05;CEPSA L-D: 24H 1,045 e
-16.396;28.46953;CEPSA AGUA GARCIA Horario Especial 1,047 e
-15.39211;27.98058;REPSOL L-D: 24H 1,047 e
-15.41533;28.09622;DISA VEGUETA L-D: 24H 1,047 e
-15.38997;27.94072;CEPSA L-D: 06:00-23:59 1,047 e
-15.43725;28.10203;DISA MILLER BAJO L-D: 24H 1,047 e
-15.39356;27.99433;DISA  L-D: 24H 1,047 e
-15.42844;28.11331;SHELL SCHAMANN L-D: 06:00-22:00 1,047 e
-15.39094;27.96719;ESTACION REPSOL L-D: 24H 1,048 e
-15.56033;28.14494;BP KM 13 - 2 (SAN ANDRES) L-D: 06:00-23:59 1,048 e
-15.48889;28.13619;CEPSA L-D: 24H 1,048 e
-15.56083;28.14547;BP KM 13 - 1 (SAN ANDRES) L-D: 06:00-23:59 1,048 e
-16.575;28.37256;CEPSA L-D: 07:00-22:00 1,049 e
-16.46047;28.44953;DISA EL BOHIO L-D: 24H 1,049 e
-16.52233;28.39833;DISA Horario Especial 1,049 e
-16.55092;28.39406;BP L-D: 06:30-23:30 1,049 e
-15.53839;28.09756;CEPSA LOS PORTALES (TEXAC L-D: 24H 1,049 e
-15.48781;28.13619;CEPSA - ALEXIS MANUEL JIM L-D: 24H 1,049 e
-15.38667;28.01172;REPSOL Horario Especial 1,049 e
-15.38758;28.01433;BP LA GARITA L-D: 24H 1,049 e
-16.57247;28.39439;B.P. LA GORVORANA L-D: 05:30-01:00 1,049 e
-15.41703;28.03553;BP JINAMAR L-D: 24H 1,049 e
-16.52308;28.39783;BP Horario Especial 1,049 e
-15.42019;27.99856;DISA EL ROQUE L-D: 06:30-23:00 1,049 e
-16.45056;28.45664;DISA LA MATANZA L-D: 06:00-22:00 1,049 e
-15.53314;28.14667;DISA BANADEROS L-D: 06:00-22:00 1,049 e
-15.43539;28.10131;DISA EL DRAGON Horario Especial 1,049 e
-15.41417;27.99831;SHELL TELDE L-D: 06:00-00:00 1,049 e
-16.57431;28.40019;SHELL LAS DEHESAS L-D: 07:00-23:00 1,049 e
-15.52458;28.11789;SHELL ARUCAS L-D: 06:00-00:00 1,049 e
